2025-10-06,😊 Heureux(se),J’ai passé une bonne journée avec mes amis.
2025-10-06,😴 Fatigué(e),Beaucoup de travail aujourd’hui.
2025-10-06,😔 Triste,Je me sens seul(e) aujourd’hui et j’ai beaucoup de mal à me concentrer.
2025-10-06,😊 Heureux(se),J’ai passé une bonne journée avec mes amis.,Neutre
2025-10-06,😊 Heureux(se),Beaucoup de travail aujourd’hui.,Neutre
2025-10-06,😴 Fatigué(e),Beaucoup de travail aujourd’hui.,Neutre
2025-10-06,😔 Triste,Je me sens seul(e) aujourd’hui et j’ai beaucoup de mal à me concentrer,Neutre
2025-10-06,😔 Triste,Je me sens seul(e) aujourd’hui et j’ai beaucoup de mal à me concentrer ,Neutre
2025-10-06,😊 Heureux(se),J’ai passé une bonne journée avec mes amis.,Neutre
2025-10-06,😔 Triste,Je suis fatigué et stressé par le travail,Neutre
2025-10-06,😔 Triste,Je me sens seul(e) et très fatigué(e) aujourd’hui,Neutre
2025-10-06,😔 Triste,Je me sens seul(e) et très fatigué(e) aujourd’hui",Neutre
2025-10-06,😊 Heureux(se),I am very happy today! I had a great day with my friends.,Calme/Positif
2025-10-06,😔 Triste,I feel sad and tired. I am struggling to focus.,Stressé/Triste
2025-10-06,😐 Neutre,I am okay, nothing special.,Calme/Positif
2025-10-06,😴 Fatigué(e),I am stressed and overwhelmed by work.,Neutre
2025-10-06,😊 Heureux(se),I love spending time with my family and friends.,Calme/Positif
2025-10-06,😊 Heureux(se),What a wonderful and relaxing day!,Calme/Positif
2025-10-06,😐 Neutre,I went to work and did my usual tasks.,Stressé/Triste
2025-10-06,😴 Fatigué(e),I feel really tired and anxious about my deadlines.,Stressé/Triste
2025-10-06,😔 Triste,I am frustrated and overwhelmed with everything going on.,Stressé/Triste
2025-10-06,😊 Heureux(se),I had a great day with my friends!,Calme/Positif
2025-10-06,😊 Heureux(se), J’ai passé une bonne journée avec mes amis.,Neutre
2025-10-06,😊 Heureux(se), I had a great day with my friends!,Calme/Positif
2025-10-06,😔 Triste, I am frustrated and overwhelmed with everything going on.,Stressé/Triste
2025-10-06,😔 Triste, I am frustrated and overwhelmed with everything going on.,Stressé/Triste
2025-10-06,😔 Triste, I feel really tired and anxious about my deadlines.,Stressé/Triste
